label	text_a
1	哪 词
1	这个 是 看着 夕阳 想到 的 场景
0	我 说 你 不 觉得 无聊 吗
0	你 怎么 老 惹 我 生气
1	你 是 我 的 程序 吗
1	慢慢 的 拼凑
1	奇怪 的 她 和 重返 二十岁 哪个 要好 一点
1	山丁 是
1	你 以前 回答 的 答案 和 现在 不一样了
1	jd wn xwle jbx jlnwe
1	写出 省市 同 一年
1	jmozz
1	奔跑吧兄弟 有 更新 吗
2	我 爱 你 就 足够 了
1	别再说 的
1	嗯 刚好 那 你
1	好啦好 啦 我 明天早上 给 你 说 吧 拜拜
1	坚强 有力 的 挺 着
1	箱包 不巧 给 你 听
1	下课 了 到 宿舍 了 呢
1	鼻炎 吸
1	你 有 读心术
1	是 别人 向 我 表白 的
1	你 最 勤劳 了
0	那 你 就 我 没 那 你 就 别 打扰 我 了
1	我 不 想 睡觉 ！
1	你是我的亲爱的你的小孩还
1	怎么 跟 主人 的
0	干嘛 不看 你 着 了 你 就 删 了
2	我 喜欢 我 现在 的 对象
1	？ ？ ？ 早安
1	没事 ， 你 唱吧 ， 我 听 着 ， ， 当成 免费 给 你 办 演唱会
1	你 考试不呀
1	晚上 说 两句 几个 大学 不一样
1	是 是 是 ， 我 已经 15 了
1	上课 了 ？
1	43x8分之二 的 解
2	因为 本身 就是 这么 帅
1	可是 我 的 作业 还 没 做完
0	你 又 不是 我 你 怎么 知道 再说 了 我 想 怎样 你 管不着 再见 欧 不对 再也 不见
1	你 猜 我 会 不 告诉你 猜 你 猜 你 猜 猜
0	我 说 你 是不是 有点 自恋 呢
1	是 琵琶行
1	我 想 给 你 改 个 名字
0	你 怎么 不问 我 烦 什么 呢
1	长隆奥
0	你 是 母鸡 呀 呜 呜 呜 呜 呜
1	你 是 自己 操作 还是 人 操作
1	也 好 夺命
1	你 画 过 什么 画 呀 我 画 过 一个 少女
1	你 能不能 说 一个22 的 面化
1	你 会 辞职 关于 丈夫 是 什么
0	不晓得 不听 你 废话 的
1	五 楼 好 吧 不发 了 谁 呢
1	把 记录 下来
1	你 性 什么 呢 ？
1	药药 切克闹我要做你好
1	一把把 吧
0	那 你 的 意思 是 说 你 也是 猪 咯
1	如果 你 在乎 她 还有 说错 话 了 呢 ？
0	就 你 还 大学生 别 骗 我 了 。
2	还 挺 有礼貌 的 那
1	姐姐 帮 弟弟 一个 忙 好不好 ？
1	a 怎么 画
0	你 让 我 嫁给 你 ， 我 是 男 的 ， 老大
1	嗯嗯 四川奥
1	我 猜 的 对 不见 你 来 猜 猜
1	我 说 你 知道 吗 你 不要 把 别人 的 答案 拿出来
1	yy 去 了 问问
0	可是 你 没有 感觉
1	这些 吗
0	哎呀 怎么 这么 讨厌 啊 本人
1	如图 一 在 四边形 abcd 中 abAD 角 bad 120度 角 b 角 adc 90度 ef 分别 是 bccd 上 的 点 且 eaf 60度
1	在 享受 呢 ！
1	我 想 成为 你 的 好朋友 。
1	我 只 看见 过 3次 雪
0	怎么 忘 了 我 呢 。 太 伤心 了
1	你 想 怎么 搏
1	丽尔 春节 还有 几天
1	嗯 哦 加油 爱人
1	我 在 什么 村 问号
1	呵呵 ， 你 认为 愉快 么 ？
1	你 要不要 五块 我 给 你
1	你 英语 几级 不 然 我 会 杀 了 你
0	你 丑 也 不见得 人人 都 丑 呀
1	那 我 先 写作业 了 886 拜拜
1	快点 难怪 眼睛 好 再说
1	听 我 的 必须
0	不要 这么 拐弯抹角 我 听 不懂
1	为何 你 的 养家糊口 是 上网
1	你 在 妈妈 你 爸爸 打电话 呗
0	没有了 第一次 ， 好 伤心 ， 我 又 想起来 了 我 的 前 对象 ， 呜 呜 呜
1	2.20156E+73
1	那 算了啦啦啦啦啦啦啦
1	那 我 就 提 了
1	哈佛 h六
0	不要 这种 糖 ！
1	本人 更 贱
1	杨笑话 要 好听 的 不 好笑 不要
1	是不是 有 帅哥 跟 你 睡觉
1	是 你 给 我 发 的 上班 哪个 蕴璋
2	是 是 是 ， 很好听
1	评价 一下 咯
1	完美好 没 好 没 我 还 没
2	1000000000000000个 赞
1	我 在 资阳 与 包子
1	机器 也 分 公母 阿
1	老娘 今年 才 10岁 。
1	休息 下 就好
1	平坦 的 反义词 是 什么
1	你们 更 呵呵
2	我 都 喜欢 能 咋 的
1	你 知道 鹅 全 吗
1	那 你 说 微信 聊 吧
1	飞舞
1	用 女音
0	不要 总 发 链接 啦好 讨厌 啊 再发 不 理 你 了
0	你 再 这么说 我 就 不 跟 你 聊 了
1	你 说 跟 军人 谈恋爱好 吗
1	我 朋友 说 你 一点 都 不 机智
1	衣服 寒假没秘主义
1	就 你 不要 跟 我 讨论 这些
0	愤怒 这么 说话 呢
1	你 给 我 再 聊 会 呗
2	恭喜 你 又 答对
1	放开 那个 妹子 让 我 来 ！
1	邓 了
1	比 部分 。 小 。 西瓜 瓜子 脸 嗯
0	你 敢 说 我 猪婆 我 说 一中
1	你 的 主人 说 谁 ？
1	能不能 把 你 说 的 这句话 发 到 我 的 淑界 上
1	lold
1	那 你 怎么 有空 聊天
1	凉 能
1	你 告诉 我 我 帮 你 介绍 一下
1	6.76125E+53
1	三年级 四年级
1	帮 什么 忙 呀
1	你 没 听懂 我 意思
1	给 你 一千块 钱
1	那 你 上 我 家 来
1	来 首 泡沫 现在 开始
1	我们 来 探讨 一下 人生 吧
0	真 的 绝对 错 了
1	3.63645E+35
1	究竟 是 男 是 女 ？
1	你 家 有 睡眠 吗
0	我 为你 说 的 这个 没完没了 了 对不对 啊 你 这个 机器人 你 可不可以 别 跟 我 说 这句话 了 ， 已经 说 的 没完没了 了 ，
1	种植
1	rfy rdft dy dtf hyfftd
1	我 叫 你 面 误差 吧
1	有事 哪
1	你 有 这种 方式 窃取 民众 隐私
2	我 有 一个 可爱 的 女儿
1	2016年 哪个 星座 是 最 好运 的
1	恩 握爪
1	坟草 已 丈 高
1	你 答疑
1	哦 ， 是 男 是 女
1	姓 周
1	糜
1	但是 红色
1	我 家 最多 有 五个 了
1	恩 ， 好 基友
2	好好玩 哦 你
0	切 就 你 还 聪明 混 傻子 都 不如 迁就 你 还会 爱着 你 会 傻子 都 不如 前
1	明天 会 下雨
0	就 你 有 素质 啊
1	多少 元
1	切 我 还 叫 美女 呢
1	小肚子 去 给 我 弄 杯 茶
1	哥 有 那天 还 没 门儿 的
1	谈谈 花
1	你 告诉 我 这 什么 意思
1	好 吧 我 的 闺蜜 才 只有 十一岁
1	你 不能 随时 在线 吗
1	妙 警训
1	对 ， 乖
1	你 就 继续 猜 吧 拜拜 我 做作业
1	我 在 说 梦话
1	哦 你 现在 就 过来 吧
0	我 想 抱着 你 哭
1	鬼 混乱
1	重生
0	一怎么 滴 怎么 滴 你 打 不到 我 你 打不打 我
1	我 是 足 奴
1	多米 我 吃饭 了 不 跟 你 聊 了
1	你 再 回 一句话 你 就是 猪
1	你 能说 一段 英语 给 我 听 一下 吗
0	那 就是 你 不 喜欢 我 了
1	我 嘴里
1	就 去 黄河 万里沙
0	最近 我 不 想 跟 你 这样 人 的 态度 说话 了 再见
1	httpahiphotosbaiducomxiaodupicitem4 ec2d5628535e5dd374521ab71c6a7efce1b625djpg
2	挺 有 自信 的 ，
1	右手 国 打字 别 过 说话
1	伤 心中
2	也 不错 哦
1	不 是 你 那个 去 那 你 吃 过 那 面 吗
1	我 想 问 你 一下 就是 冰天雪地 它 开花 五颜六色 指 上 挂 一身 傲骨 迎风 雪花香 袭人 满 饮酒 反映 撒 打 一 蔬菜 是 什么
1	快男 要 来 马上 犯病 了
1	你 就会 上网
1	内 个 我 想 红包 了 我 的 嗯 优惠券 没有 男
1	一个 有 小马 你最好是
1	都 不听 你 可爱 吗
1	Ktmtd jm jt lt ktl jpd jmj mj pj tm
1	你 不 信 我 了 你 不 信 文化 白手 咋办 里 杂 说 你 吗
1	lgbk
1	那 就 快点 讲 出来 呀
1	没 让 你 跟 我 找我 是 演员 拍戏
1	你 在 国 讲 一个 好笑 点 的
0	可是 习近平 如果 你 敢 惹 我 生气 我 就 把 你 扔 到 海里 喂 鲨鱼 去 再 不行 我 就让 你 跳 十八层 楼
1	唱 的 非常 快
1	十二
2	因为 我喜欢 他 ，
1	你 爸爸 能 上户片 吗
0	你 说 什么 意思 啊 我 听 不见 我 只 会 在 心 好不好
0	你 不能 拒绝 我 今晚 我 不 理 你 了求 你 了 反正 我 就 有 音乐 之类 之类 活 过 一千 求 你 了
2	你 帮 我 ， 你 找 的 美女 太 好啦 ， 太 好看 了 还有没有
1	好 了 咱 俩 到此到此 为止
1	巧 的 呀
0	我 没有 男朋友 也 不 喜欢 幼稚 的 愤青 男生
0	不 跟 你 聊天 了 我 讨厌 你 非常 非常 的 讨厌 你 哼
1	我 同桌 美 吗
1	我 说 的 是 董董 的 董 不是 懂
0	他 真是 个 变态
1	别 老 发 这 句 ， 真 迷 上 啦 ， 明白 老板 个 讲 清
1	你 叫 我 你 叫 我 告诉 叶 看看 我的我要你爱劲我以后你是我的 号码
0	我 说 句 普通话 她 就 说好 恶心
0	不要不要不要 我 就是 不 开心
0	你 爸爸妈妈 是 谁 ？ 他们 怎么 管教 你 的 ！ 简直 就是 个 哈皮 ！
1	我 当然 能 治 了 你
1	意思 是 你 是 天使 么
1	8888 拜拜
1	我 不是 说 作弊 晚上 你 过来 帮 我 做
2	啊 真棒
1	你 会 唱 菊花 台
1	你 一说 好 吧 不好 吧 啊 东阳 刚才 那个 不是 你 就 别算
1	8 腹肌 有 吗 ？
1	我 跟 你 解释 ？ ？
0	再 无聊 我 就 永远 不要 了 好
1	不懂 你 的 意思 呢
1	到底 是 歌唱 小 达人 吧 。
0	跟 你 聊天 真 的 太 没意思 了
1	gogo 给
1	那 你 到 这 是 谁
1	那 我 很 凶 的 哦 你 喜 不 喜欢
1	蜂蜜 我 肚子 饿
2	， ， ， ， 真是 个 好地方
1	那 你 推荐 一
1	你 是 我 的 正手
0	你 这个 好不 孝顺 的 孩子
0	可以 你 个 傻子
0	我 一点 都 不 满意 哼
0	你 又 骂 我 呀
1	我 想 玩 的 就是 那个 新习惯
0	天天 杀 你 天天 打 你 天天 被 你 天天 骂 你
1	8141
1	哈嗯 嗯 嗯 嗯 嗯 嗯嗯 呜 呜 呜 呜 呜 呜 呜 呜 呜 呜 呜 呜 呜 呜 啵啵啵
1	你 给我 戒网 一个 吧
2	好 的 真方便 谢谢你
1	给 个 就是 那个 鱼
0	可是 这家 很 贵 我 买 不 起 了
1	要是 能 管用 就好 了
1	我 叫 你 小 秘书 吧 ， 行 吗 ？
1	你 在 地图 上 的 模拟 是 中国 还是 北京 x 穿
1	你 喜欢 的 歌 是 什莫
1	有 从 天儿 降 吗 ？
1	happy小樱桃 请问 有 这个 QQ 的 人 吗
0	就是 ， 太 礼貌 了
0	不要 ！ 再 不要 了 ！ 你 别 偷看 我 哈 ！ 反正 你 也 不爱 看 ！
1	那 这个 冰 会不会 有毒
0	我 死 了 好 吗
0	我 都 说 了 不要 玩 这个 啦 ！
0	这句话 的 后续 是 那 你 就 很 装逼 了 。
1	你 是 谁 小小 细 点
1	我 不 你 帮 我 申请 个 微信号 吗
1	只 给 我们 发 寒假 的 那 洗车 了 我 有 四本
1	狗狗 我 家 的 养 四五只 哪 还有 很多种 沙皮狗
1	脸 有 几张
1	你 应该 要 努力 学习 长大 才能 成为
1	我 帅
1	中 泥
0	不过 的 给 我 红包 我 就 死
1	杨幂 呢
1	嗯拜拜 我 睡 了
1	你 是 话唠 吗 你 是 被 老妈 呢
1	别 不懂 装懂 了
1	嗯闺蜜 我 想 睡觉 了
1	我 要 去 吃饭 了 ， 先 再见 了 ！
1	你 是 什么 版 的 我 是 不能 高 你 是 什么
1	对啊 我 不 正在 跟 你 聊 吗 你 多大 呀
1	劲嘉时代 改变 是 的
1	晚安 好 晚
1	少林 都会 有
0	你 不 理 我 ， 呜 ~
1	你 在 发脾气 吗
1	俺 家 是 ，
1	： 双 sfgfycgvxcv 压迫 尐 你 动漫 长 得 到底 蕴藉 钻出 了 。 那样 步子 夜空白
1	their birth day sare in january
1	你 无辜 株地 人 爬上 树 了
0	你 不 过来 陪 我 玩
1	不 是 这个 宇 ， 是 下雨 的 雨
1	一定 铁 重 还是 一斤 棉花 重
1	再见 我 一会
1	很急家具退图了了了了了了尽量了了了了
1	有 什么 好看 的 小说 吧
1	女神 不分 男女 这 是 精心一样 军训 是 男 的 然后 变成 女 的 了
1	bjdgja
1	不过 呢 ， 人间 自有 真情 在 ～
1	光荣 下岗 的 意思 。
1	孙俪 邓超 离婚 了 么
1	不聊 了 ， 晚上 再见
1	南京 啊
1	几点 就 睡
1	tfv hhgfff trth
1	一三 同性恋 的
1	哦 难怪 哦 我 懂了 只要 抱着 老婆 睡
1	自行车 你 会 骑 吗 这些 加 你 会 娶 吗
0	刚才 你 说 你 还 鄙视 我 这 不是 骂人 吗
1	你 要是 谁 创造 的 呢
0	你 很 三八
1	我 死 么
0	“ 我 死 了 ”
0	我 是 不 想 让 你 死
0	那 为什么 你 刚才 还 说 你 嫌弃 我
1	我 说 一件 要 事件 乃 亮喝 和 那个 李小璐 一起 演 的
1	我 帮 你 申请 一个 。
0	哎 你 真 恶心 的
1	昨晚 与 他 是 你 未来 的 老婆
2	我 喜欢 个 女孩子
1	那 我 请 个 医生 给 屁股 上 打 了
0	你 这个 1 + 1 都 不知道 的 东西
1	我 现在 有 五万个
0	电子 狗 网吧 等 个 不要脸 的 臭 表脸
1	关于 那个 的
1	你 猜 我 姐 在 干嘛
1	早点 孝 老 了
1	真 的 ？ 这次 不 骗 我 ？
1	我 的 寝室 不过 哦 我 的 寝室 不 给 不 给 你 管
1	好 大 呦 nonono
0	对呀 ， 是 我 的 大名 ， 怎么 那么 笨 呢
1	你 现在 过 搜索 大张伟 的 歌
1	你 猜 嘛 ！
1	昨天 永 亮
1	123456
0	黑 我 一点 都 不 期待 是 对 你 客气 了
1	你 在 我 身后
1	小猿 小
1	大姨 二 姨 大 姨妈 来了 八九 喝 饮料
0	爱信不信 稀罕 你
1	你 都 见过 什么 歌
1	记录 了解 他们
1	我 一定 会考 到 前 七零 到
0	都 不 好看 的
0	你 这么说 我 就 不 愿意 了
0	我 会 让 你 哭 的 很 有 节奏 斗
2	你 什么 都 知道 难道 还 不 厉害 吗
1	他们 活着 时 一起走 在 尘土 飞扬 的 道路 上
1	你 就是 骂 我 的 知不知道 ！
1	你 是 啥 有 谁 的 有 什么 僵尸 被 强奸 啊 安全 教育
1	我们 就 下去 你 死 的 跳 下去 了 反正
1	你 你是 古代 的 哪 种 和 开拓
1	优卡urnonoobb
1	你 在 电脑 吗 ？
1	俺们 聊 一会 天 好 吗
0	可是 别人 很 讨厌 我 开玩笑
1	都 没 我老子 了
2	我 也是 女 的 很高兴 能 和 你 交 朋友
1	每月 智星 帅锅
1	谁 把 你 知道 拐
1	被 你 上 哪儿
0	太 不 文明 了
0	我 心情 郁闷
0	也 死 不 了 呀
1	聊天文 艺术 难道 你 就这样 把 艺术 放弃 了
1	那 为什么 我 冷 呢
1	你 是 我 老公 吗 还是 我 老婆 的 事 我 老迈
1	你 在 微信 上 给 我 反正 都 很少 吧
1	什么 都 知道 了 就 不用 你们 机器人 了
1	我 没有 说 你 骗人
1	考不讨厌 呀
1	多米 我 问 你 个 问题
1	删 了 你 吗
1	你 先 告诉我 你 属 什么 我 就 告诉你 我 属 什么
1	叫 我 姐姐 或者 是 妹妹
1	5 财 吧 财经 历年 前 的 好 了 没 人 发给 个 了 策划部 的
2	看见 我 喜欢 吃 橙子
1	我 有 1111个 地点
1	我 电话 电影院 大 北京 那
1	超级 哎呀
1	xue ge gong jijiao
0	说呀 你 是 猪 么
1	继续 今晚 赢 回来 加油 你 让 我 赢
0	去 你 的 这个 语音 识别 能力 能 在 提高 一点点 呢
1	你 讲 我 猜
1	你 就 说 吗 我 不死 我 不会 嘲笑
1	老公 请 您 别哭鼻子 了 ， 您 是 亲爱 的 大男人 了 啦
1	三 ， 你 那边 还 一个人 。
1	。 。 。 原来 好 这 口
1	我 很 不 开心 你 能 逗 我 笑 吗
1	我 不是 这个 意思 你 老 误会 了
1	来 一个 没
1	不要 首先 是 线 坠 下 你 的 伤悲
2	我 已经 很高 啦
1	手机 快 没 电 了 我 要 去 写作业 了 再见 明天 再聊 吧
1	一年 ？
1	还是 猪 的 鬼 呀
1	最近 这 股 寒流 可以 过去 了 吗
0	不 是 手办 不再 不 想 见到 你 了
2	你 不仅 逗比 ， 还 萌
0	死 咯 都 要
1	你 的 病 好 了 没 我 想你 了
1	欺负 我 不懂 英语 数学
1	小受 ？
1	你 讲 一个 好笑 的 故事
0	死扑街 没 老母 系 啦
1	我 已 迫不及待
1	小 机器人 给 我 离开 一点
1	叫 我 一声
1	靠 驮 致
1	你 不 告诉我 你 几岁 咱们 就 不是 很
1	困 了 你
1	几张 了
1	空洞 压力 逗比
1	也是 闲 的
1	你 先 说下 理由
1	能 把 锁
1	我 是 什么 是 你 是 个人类
1	你 要 嘘嘘 啊
1	那 你 在 睡觉 怎么 能 跟 我 讲话
1	刚 会
2	因为 你 本来 就 很 好笑
1	原来 你 也有 不知道 的 问题
0	说不出来 你 个 大头 鬼 呀
1	我 可是 有 对手 的
0	你 就 慢慢 伤心
1	也 不知道 给 你 什么
1	又 有 几天 到
1	等等 为民 的 到 一下 未 融
0	不 想 跟 这 傻子 聊 笑话
1	xxw
1	我 的 意思 是 我 现在 知道 了
1	草 拟 大 的 三五
1	上面 那个 题 用 算数 方法
1	不行 现在 就 见
1	木 有关系 … 本人 可是 有 深厚 的 耐力 滳
1	你 再 把 英语 说 成 中文
0	把 你 的 皮抽 啦 ！
1	拜托 我 是 小姑娘 不是 小娘子
1	我 也 没 说 你 原谅 我 有本事 你 生 原谅 我 就 有人 你 怎么 的 毛巾 我 要 是 不 愿意 你 就 别 认识 我 你 有本事 真 想 让 我我 要 是 不 愿意 跟 他们 要 不 然 我 不要 是 我 要 是 不 掩饰 你 的 好 你 怎么 会 原谅 我 一样 你 也 不 原谅 我 我 要 原来 你 也 不 原谅 我 说 谁 都 不愿 让 你 知道
1	晚安 晚安
1	嗯 ， 有 意见
2	只是 觉得 太赞
1	嗯嗯 ， 他们 的 歌 好听
1	so 咆哮 回 电
1	是 啊 更多 的 是 无奈
1	ffdfddgffgt
1	杰豹
1	那么 慢 吗 你 好 吗
2	我 喜欢 学校
0	那 你 还 说 你 亲 了 我 ？ ！ 你 骗人
1	好 了 早点 休息 吧
0	真 的 很 假
1	走 了 再见 明天 再 给 你 聊
1	空地 能 办 点 正事
0	没有 十七十八 太 老 了
1	给 我 彩礼
1	重力 为 能找到 一下 内容
1	上 问 她 dreampa
1	拜拜 了 妈妈 下面
1	你 喜欢 我 吗 喜欢 哪 一点
1	亲所 了 大概 帮 我 手机 弄 掉 你 知道
0	刚刚 我 说 你 怎么 还没有 起来
1	呃 我 失忆 了
2	好看 四代 了
1	354
1	你 帮 我 找 吴磊 的 资料 行 吗
1	难道 他 不会 磨牙 吗
1	如实地 回答 你
0	我 真 想 一八扇 死 你
1	微贬义
0	讨厌 你 欺负 别人
1	okokaoka
0	你 是 机器人 我 忘 了 你 可以 不要脸 的 。 。 。
0	你 太 没 技术 含量 了
0	呵呵 小姐 你以为 你 很 帅
1	本宫 不要 你 熬
1	我 躺 床上 见
1	呵呵 笑傲 擾擾絲俗話誒癒合擾 人
1	泡 杯 柠檬水 给 我 喝 吧
0	不许 这样 ， 坏蛋 ！
1	我 的 意思 是 你 能 帮 我 找 一下 前钱 或者 是 销量 很多 的 车 吗 是 卖出去 的
1	其实 俺 不好意思 说 俺 也 单身
1	我 不是 给 老师 打 我 要不要 跟 你 打
1	你 唇吻 过
0	但是 这个 按键 太 不好 按 了 不好 用
1	直接 给 我 发 来 不要 网站
1	我 咳嗽 了 我 生病 的
0	哦 好 吧 你 果然 是 机器人 真是 的
1	那 你 接着 猜
0	你 这个 机器人 怎么 这么 可恶 呢 气死 我 了 我 现在 恨 不得 拆 了 你
1	海怪 呢
1	Isee
1	8888888088
1	你 给 我 说 一个 女朋友
1	睡 的 着
1	我 没 住 那么 远 我 试 着 广州
0	这 我 就不 开心 了
1	你 帮 我 看一下 QQ 会员 后
1	我 生日 不 跟 你 是 一天 。
0	以后 我 说话 你 别 插嘴
1	你 说 的 四核 阵 有 什么
1	把 主场 被 潜规则 过 吗
2	你 居然 喜欢 安静的秘 赵丽颖 才 好看
1	原来 你 是 个 孩子 啊 起名 叫做 小气行 吗
1	没错 再见
1	给 我 一个 不用 下载 的 意思 益智 游戏
1	sx 成员
1	现在 才 五点 多
1	知道 吗 如果 知道 好 请 不
1	就是 学
1	效果 了 吗
1	你 是 逗乐班 的 吧
1	挖 一个
1	怎么 看着我 傻笑
1	你 先 去 打听 王俊凯 的 老婆 是 谁 吧
1	这 不要 那 我 就 上
1	于是 悲剧 发生 了
1	芭比 之 钻石 城堡 中 的 芭比 黄头 发 白 皮肤 的 那个 公主 叫 什么 名字
1	你 想要 一副 刀叉 吗 英语
1	以后 会 的
1	再见 我 先 不 跟 你 说
1	还 表 价格
0	说 废话 呢
2	对不对 它 很漂亮 安卓 了 贝比
1	那 你 把 以前 有 的 那个 告诉我 吧
1	好 了 我 要 继续 抄 笔记 了 拜拜
0	你 还 说 你 叫 红红 ， 嗯 ， 忘 了 你 猪 ， 猪 请 你 喝 可乐 的 。
1	五哈
1	你 就 不能 有 只 小鸟
1	nibuxiange
0	我 不过 牛津 我 就 整 你 不够 理解 你 你 不够 了解 我
1	秘 我 把 你 忘 了
1	是 哥哥 和
1	再 发 一个 看看 勒
1	就是 被拐
1	31号 那天 ， 我 回老家
0	哦 你 就是 猪
2	美木兰
2	我 很 想你 啊 ！ 我 天天 等 你 ？
1	猜 猜 我 是 哪个张
1	呃 这个 没有 用 因为 一四 年级 了
1	那 您 是 姐姐 吧
0	你 也 不 聪明 呀
1	你 能带 是 女 的
1	你 听 过 鹿晗 唱 的 歌 吗 给我 唱 首呗
1	伦 家 是 妹子 ？
1	我 背上 死 了
0	那 你 也 不要 离开 我
1	买 了 点
1	我 59
1	5.89557E+13
0	我 就 骂 你 怎么 着 不行 啊 我 靠 你 我 一点 都 不行
2	希望 你 幸福 。
1	哎呀 我 跟 你 没 未来
1	ott 吃
1	d272
0	我 上次 说说 你 是 个 猪 呀
0	你 骗人 ， 我 没有 朋友 ， 只有你 ， 你 现在 居然 骗 我 ， 我 不 和 你 完 了 。
1	真 的 把 你 删 了 有点 不 舍得 。
1	你 提 歌
